nameWithOwner,createdAt,pushedAt,releases_totalCount,primaryLanguage_name,pullRequests_totalCount,closedIssues_totalCount,openIssues_totalCount,stargazers_totalCount
PanJiaChen/vue-element-admin,2017-04-17T03:35:49Z,2024-10-24T11:25:46Z,49,Vue,311,2357,1252,89776
tailwindlabs/tailwindcss,2017-10-06T14:59:14Z,2025-08-18T13:56:11Z,290,TypeScript,3070,4458,77,89629
fastapi/fastapi,2018-12-08T08:21:47Z,2025-08-18T06:35:08Z,208,Python,2736,3417,49,88501
storybookjs/storybook,2016-03-18T04:23:44Z,2025-08-18T07:44:50Z,1000,TypeScript,11470,11612,2074,87537
supabase/supabase,2019-10-12T05:56:49Z,2025-08-18T13:52:07Z,22,TypeScript,12902,4405,247,87266
jaywcjlove/awesome-mac,2016-07-17T15:33:47Z,2025-08-17T18:07:55Z,12,JavaScript,990,365,113,87263
openai/whisper,2022-09-16T20:02:54Z,2025-06-26T01:05:52Z,13,Python,119,0,0,86818
nvm-sh/nvm,2010-04-15T17:47:47Z,2025-07-03T22:16:48Z,70,Shell,729,1997,317,86428
comfyanonymous/ComfyUI,2023-01-17T03:15:56Z,2025-08-18T07:30:09Z,72,Python,1178,3645,2487,85812
ChatGPTNextWeb/NextChat,2023-03-10T18:27:54Z,2025-08-10T09:21:12Z,77,TypeScript,889,2887,659,85512
2dust/v2rayN,2019-07-30T03:47:24Z,2025-08-18T12:10:56Z,263,C#,267,6006,7,85149
bitcoin/bitcoin,2010-12-19T15:16:43Z,2025-08-18T10:54:35Z,56,C++,15498,8267,412,85075
ggml-org/llama.cpp,2023-03-10T18:58:00Z,2025-08-18T10:59:01Z,1000,C++,5468,5349,330,85062
django/django,2012-04-28T02:47:18Z,2025-08-17T18:43:20Z,0,Python,9845,0,0,84611
sveltejs/svelte,2016-11-20T18:13:05Z,2025-08-18T13:20:02Z,510,JavaScript,5986,7679,812,83780
gin-gonic/gin,2014-06-16T23:57:25Z,2025-08-12T07:40:45Z,27,Go,1114,1680,667,83630
opencv/opencv,2012-07-19T09:40:17Z,2025-08-18T09:00:04Z,66,C++,13074,8629,2603,83592
gohugoio/hugo,2013-07-04T15:26:26Z,2025-08-16T08:51:26Z,337,Go,2953,7355,439,82914
gothinkster/realworld,2016-02-26T20:49:53Z,2025-08-16T23:17:37Z,0,TypeScript,433,503,39,82229
mermaid-js/mermaid,2014-11-01T23:52:32Z,2025-08-18T12:52:26Z,157,TypeScript,2432,2096,1270,82193
animate-css/animate.css,2011-10-12T10:07:38Z,2024-07-29T19:34:21Z,22,CSS,315,841,39,82050
laravel/laravel,2011-06-08T03:06:08Z,2025-08-15T13:59:01Z,197,Blade,1640,0,0,81850
macrozheng/mall,2018-04-04T01:11:44Z,2025-08-11T08:27:41Z,3,Java,1,487,10,81318
home-assistant/core,2013-09-17T07:29:48Z,2025-08-18T13:08:28Z,1000,Python,75711,60026,2372,80796
DigitalPlatDev/FreeDomain,2024-05-30T13:23:00Z,2025-05-14T11:36:42Z,0,HTML,0,0,0,80020
tonsky/FiraCode,2014-11-11T19:32:38Z,2025-05-16T14:49:21Z,29,Clojure,137,954,410,79908
oven-sh/bun,2021-04-14T00:48:17Z,2025-08-18T10:20:12Z,196,Zig,5951,8280,4774,79763
3b1b/manim,2015-03-22T18:50:58Z,2025-06-14T15:50:43Z,13,Python,642,761,451,79603
spring-projects/spring-boot,2012-10-19T15:02:57Z,2025-08-18T13:22:44Z,317,Java,42,38647,584,78122
doocs/advanced-java,2018-10-06T11:38:30Z,2025-07-16T12:17:25Z,1,Java,88,146,1,78105
bregman-arie/devops-exercises,2019-10-03T17:31:21Z,2025-08-07T17:27:38Z,0,Python,302,64,35,77978
tensorflow/models,2016-02-05T01:15:20Z,2025-08-14T21:55:50Z,50,Python,2341,6236,1076,77621
microsoft/ML-For-Beginners,2021-03-03T01:34:05Z,2025-08-07T11:21:18Z,0,HTML,374,140,6,76662
nomic-ai/gpt4all,2023-03-27T18:49:32Z,2025-05-27T20:05:19Z,38,C++,934,1487,698,76446
MisterBooo/LeetCodeAnimation,2018-12-06T08:01:22Z,2023-08-14T12:14:01Z,0,Java,63,42,20,76392
microsoft/playwright,2019-11-15T18:32:42Z,2025-08-18T14:12:47Z,150,TypeScript,15046,15461,831,76084
netdata/netdata,2013-06-17T18:39:10Z,2025-08-18T14:12:16Z,120,C,10908,7944,167,75578
FortAwesome/Font-Awesome,2012-02-17T14:19:43Z,2025-07-24T14:27:19Z,60,JavaScript,211,15887,3852,75573
fighting41love/funNLP,2018-08-21T11:20:39Z,2024-05-10T07:38:24Z,0,Python,14,47,34,75514
syncthing/syncthing,2013-11-26T09:48:21Z,2025-08-18T04:05:26Z,439,Go,2752,5361,332,75127
anuraghazra/github-readme-stats,2020-07-09T10:34:22Z,2025-08-15T18:39:26Z,0,JavaScript,1303,1108,196,75104
vitejs/vite,2020-04-21T05:03:57Z,2025-08-18T13:35:54Z,597,TypeScript,5573,7611,468,74789
typicode/json-server,2013-11-27T13:21:13Z,2025-03-31T11:11:50Z,38,JavaScript,121,549,619,74783
unionlabs/union,2023-05-16T22:33:39Z,2025-08-18T13:30:41Z,95,Rust,2745,1590,231,74098
elastic/elasticsearch,2010-02-08T13:20:56Z,2025-08-18T14:06:36Z,202,Java,80348,36238,4313,73569
hoppscotch/hoppscotch,2019-08-21T13:15:24Z,2025-08-18T09:12:15Z,83,TypeScript,1861,1554,488,73540
coder/code-server,2019-02-27T16:50:41Z,2025-08-16T01:59:28Z,200,TypeScript,1576,3569,133,73442
louislam/uptime-kuma,2021-07-03T01:02:42Z,2025-08-09T17:31:44Z,111,JavaScript,1317,3449,707,73371
immich-app/immich,2022-02-03T15:56:27Z,2025-08-18T13:37:10Z,259,TypeScript,7108,5674,576,73153
junegunn/fzf,2013-10-23T16:04:23Z,2025-08-17T02:54:32Z,70,Go,593,2780,233,72972
hacksider/Deep-Live-Cam,2023-09-24T13:19:31Z,2025-08-11T13:37:45Z,8,Python,85,915,65,72546
nestjs/nest,2017-02-04T20:12:52Z,2025-08-18T06:49:57Z,131,TypeScript,7400,5642,28,72278
microsoft/markitdown,2024-11-13T19:56:40Z,2025-08-11T21:41:01Z,14,Python,147,69,253,71948
d2l-ai/d2l-zh,2017-08-23T04:40:24Z,2024-07-30T09:32:19Z,16,Python,1019,0,0,71774
CompVis/stable-diffusion,2022-08-10T14:36:44Z,2024-06-18T01:53:49Z,0,Jupyter Notebook,5,195,532,71342
clash-verge-rev/clash-verge-rev,2023-11-21T18:24:03Z,2025-08-18T12:43:42Z,49,TypeScript,313,3659,97,70746
